material_id,exp,mp,diff
mp-1786,-0.3253,-0.3503,0.025
mp-4990,-0.4156,-0.440105,0.024505
mp-558118,-3.548035,-3.571921,0.023886
mp-25424,-1.796574,-1.820413,0.023839
mp-1293627,-1.356239,-1.379856,0.023617
mp-2836,-0.6633,-0.68672,0.02342
mp-1775,-0.1596,-0.182752,0.023152
mp-3657,-0.6364,-0.659535,0.023135
mp-11525,-0.4809,-0.503309,0.022409
mp-840,-0.6789,-0.701223,0.022323
mp-1672,-2.461514,-2.483215,0.021701
mp-171,-0.2249,-0.246321,0.021421
mp-2628,-0.1803,-0.201618,0.021318
mp-1018128,-0.2809,-0.302125,0.021225
mp-1194312,-2.242532,-2.263255,0.020723
mp-1158,-0.9193,-0.939851,0.020551
mp-999335,-0.6654,-0.68587,0.02047
mp-29767,-0.279458,-0.299878,0.02042
mp-753740,-1.50582,-1.526179,0.020359
mp-11427,-0.8561,-0.876156,0.020056
mp-2163,-0.9038,-0.923498,0.019698
mp-16488,-0.312222,-0.331883,0.019661
mp-30383,-0.4224,-0.441708,0.019308
mp-570179,-0.8416,-0.860877,0.019277
mp-999336,-0.8001,-0.818373,0.018273
mp-1075,-0.284,-0.301779,0.017779
mvc-847,-2.364297,-2.381365,0.017068
mp-1128,-0.6675,-0.68431,0.01681
mp-1245018,-2.261484,-2.27817,0.016686
mp-796,-0.142,-0.158614,0.016614
mp-30584,-0.2591,-0.275654,0.016554
mp-542915,-0.3793,-0.395765,0.016465
mp-674,-0.7991,-0.815539,0.016439
mp-30865,-0.7566,-0.772744,0.016144
mp-2529,-0.626,-0.642001,0.016001
mp-7092,-0.7524,-0.768051,0.015651
mp-22344,-0.1938,-0.209016,0.015216
mp-21245,-1.0758,-1.090837,0.015037
mp-32899,-1.542317,-1.557235,0.014918
mp-21708,-0.1047,-0.11954,0.01484
mp-567164,-0.3679,-0.382618,0.014718
mp-622209,-0.390277,-0.404993,0.014716
mp-11869,-0.7089,-0.723606,0.014706
mp-1748,-2.341662,-2.355909,0.014247
mp-9972,-0.8364,-0.850298,0.013898
mp-567412,-0.7545,-0.768234,0.013734
mp-568388,-0.282732,-0.296221,0.013489
mp-253,-0.3368,-0.350233,0.013433
mp-20622,-0.6001,-0.613384,0.013284
mp-2317,-0.2726,-0.285802,0.013202
mp-1094460,-0.121419,-0.134415,0.012996
mp-1080789,-0.117083,-0.129995,0.012912
mp-2593,-0.4198,-0.432517,0.012717
mp-1632,-0.5524,-0.564867,0.012467
mp-20560,-2.36551,-2.377505,0.011995
mp-1071288,-1.202632,-1.214553,0.011921
mp-18759,-2.052984,-2.064789,0.011805
mp-11256,-0.7887,-0.800034,0.011334
mp-582,-0.7649,-0.775696,0.010796
mp-1527,-0.256,-0.266268,0.010268
mp-1491,-0.7328,-0.742846,0.010046
mp-1018046,-0.058,-0.067966,0.009966
mp-1898,-0.650462,-0.65988,0.009418
mp-13156,-0.1113,-0.119732,0.008432
mp-2717,-0.4208,-0.42918,0.00838
mp-22790,-0.2943,-0.302636,0.008336
mp-22192,-0.6291,-0.637345,0.008245
mp-1824,-0.2715,-0.279404,0.007904
mp-1070456,-1.219398,-1.22725,0.007852
mp-2579,-1.1048,-1.112542,0.007742
mp-764,-0.0974,-0.105068,0.007668
mp-30336,-0.1461,-0.15355,0.00745
mp-869,-0.3099,-0.317324,0.007424
mp-1029,-4.175972,-4.183262,0.00729
mp-5063,-0.6509,-0.658178,0.007278
mp-11237,-0.2715,-0.278754,0.007254
mp-1901,-0.900527,-0.907483,0.006956
mp-1181818,-1.68522,-1.692164,0.006944
mp-31380,-0.854,-0.860624,0.006624
mp-755413,-1.444026,-1.450312,0.006286
mp-21874,-3.017039,-3.023306,0.006267
mp-30558,-0.1814,-0.187629,0.006229
mp-542640,-0.4705,-0.47656,0.00606
mp-1018062,-0.2995,-0.305515,0.006015
mp-2495,-2.341662,-2.347378,0.005716
mp-571,-0.3389,-0.343713,0.004813
mp-30699,-0.142,-0.146808,0.004808
mp-30698,-0.1171,-0.121514,0.004414
mp-1979,-0.9058,-0.910145,0.004345
mp-21188,-0.314,-0.318326,0.004326
mp-1654,-0.373114,-0.37715,0.004036
mp-1263,-0.3213,-0.325293,0.003993
mp-291,-0.71,-0.713614,0.003614
mp-1842,-0.4198,-0.423366,0.003566
mp-2454,-0.2819,-0.28543,0.00353
mp-776081,-1.249585,-1.252956,0.003371
mp-560030,-4.242441,-4.245613,0.003172
mp-755,-0.173456,-0.176538,0.003082
mp-423,-0.5421,-0.544978,0.002878
mp-21235,-0.2218,-0.224512,0.002712
mp-20849,-0.3068,-0.308947,0.002147
mp-517,-0.4768,-0.478756,0.001956
mp-411,-0.2042,-0.205611,0.001411
mp-1245303,-2.06553,-2.066696,0.001166
mp-2260,-0.2384,-0.239522,0.001122
mp-2108,-0.7649,-0.765992,0.001092
mp-11799,-0.2912,-0.292169,0.000969
mp-567680,-2.954508,-2.95536,0.000852
mp-548,-0.0301,-0.030875,0.000775
mp-2554,-0.2881,-0.288684,0.000584
mp-2121,-0.4508,-0.451163,0.000363
mp-10024,0,0,0
mp-1008501,0,0,0
mp-1009460,0,0,0
mp-1018122,0,0,0
mp-10257,0,0,0
mp-1056004,0,0,0
mp-1056579,0,0,0
mp-1057139,0,0,0
mp-1059289,0,0,0
mp-1060567,0,0,0
mp-10641,0,0,0
mp-1064307,0,0,0
mp-1065340,0,0,0
mp-10659,0,0,0
mp-1067285,0,0,0
mp-107,0,0,0
mp-10752,0,0,0
mp-1076920,0,0,0
mp-1076923,0,0,0
mp-1079952,0,0,0
mp-1096861,0,0,0
mp-112,0,0,0
mp-11698,0,0,0
mp-1183069,0,0,0
mp-1183710,0,0,0
mp-1184067,0,0,0
mp-1186427,0,0,0
mp-1187875,0,0,0
mp-123,0,0,0
mp-124,0,0,0
mp-1244953,0,0,0
mp-1245108,0,0,0
mp-1245320,0,0,0
mp-1247117,0,0,0
mp-126,0,0,0
mp-128,0,0,0
mp-131,0,0,0
mp-142,0,0,0
mp-145,0,0,0
mp-146,0,0,0
mp-153,0,0,0
mp-156,0,0,0
mp-158,0,0,0
mp-160,0,0,0
mp-19981,0,0,0
mp-20071,0,0,0
mp-37,0,0,0
mp-39,0,0,0
mp-49,0,0,0
mp-542605,0,0,0
mp-558964,0,0,0
mp-567337,0,0,0
mp-567379,0,0,0
mp-568938,0,0,0
mp-570384,0,0,0
mp-58,0,0,0
mp-62,0,0,0
mp-639751,0,0,0
mp-640416,0,0,0
mp-667273,0,0,0
mp-7098,0,0,0
mp-74,0,0,0
mp-75,0,0,0
mp-76,0,0,0
mp-7761,0,0,0
mp-79,0,0,0
mp-81,0,0,0
mp-84,0,0,0
mp-85,0,0,0
mp-86,0,0,0
mp-8639,0,0,0
mp-867200,0,0,0
mp-867351,0,0,0
mp-949029,0,0,0
mp-975065,0,0,0
mp-998890,0,0,0
mp-11908,-0.7027,-0.702548,-0.000152
mp-601371,-0.7835,-0.783309,-0.000191
mp-568404,-0.1565,-0.155992,-0.000508
mp-570175,-0.5472,-0.546615,-0.000585
mp-328,-0.3234,-0.32277,-0.00063
mp-10162,-0.6384,-0.637765,-0.000635
mp-1208,-0.5089,-0.508004,-0.000896
mp-583266,-0.091065,-0.090051,-0.001014
mp-121,-0.001117,0,-0.001117
mp-2370,-0.2653,-0.264057,-0.001243
mp-2772,-0.54,-0.538109,-0.001891
mp-1479,-0.409378,-0.407349,-0.002029
mp-8374,-1.293696,-1.291645,-0.002051
